Date,Open,High,Low,Close,Volume
2015-01-02,27.8475,27.86,26.8375,27.3325,212818400
2015-01-05,27.0725,27.1625,26.3525,26.5625,257142000
2015-01-06,26.635,26.8575,26.1575,26.565,263188400
2015-01-07,26.8,27.049999,26.675,26.9375,160423600
2015-01-08,27.3075,28.0375,27.175,27.9725,237458000
2015-01-09,28.1675,28.3125,27.5525,28.0025005,214798000
2015-01-12,28.15,28.1575,27.2,27.3125,198603200
2015-01-13,27.8575,28.2,27.2275,27.555,268367600
2015-01-14,27.26,27.6225,27.125,27.45,195826400
2015-01-15,27.5,27.515,26.665,26.705,240056000
2015-01-16,26.7575,26.895,26.3,26.4975,314053200
2015-01-20,26.96,27.2425,26.625,27.18,199599600
2015-01-21,27.2375,27.765,27.067499,27.3875,194303600
2015-01-22,27.565,28.1175,27.43,28.1,215185600
2015-01-23,28.075001,28.4375,27.8825,28.245,185859200
2015-01-26,28.435,28.59,28.2,28.275,222460000
2015-01-27,28.105,28.12,27.2575,27.285,382274800
2015-01-28,29.4075,29.53,28.8275,28.8275,585908400
2015-01-29,29.08,29.7975,28.89,29.725,337745600
2015-01-30,29.6,30.0,29.2125,29.29,334982000
2015-02-02,29.5125,29.7925,29.02,29.6575,250956400
2015-02-03,29.625,29.7725,29.4025,29.6625,207662800
2015-02-04,29.625,30.1275,29.5775,29.89,280598800
2015-02-05,30.0049992,30.057501,29.8125,29.985,168984800
2015-02-06,30.0049992,30.0625,29.6125,29.7325,174826400
2015-02-09,29.6375,29.96,29.6075,29.93,155559200
2015-02-10,30.0425,30.5375,30.040001,30.505,248034000
2015-02-11,30.6925,31.23,30.625,31.22,294247200
2015-02-12,31.515,31.87,31.3925,31.615,297898000
2015-02-13,31.82,31.82,31.4125,31.77,217088800
2015-02-17,31.8725,32.22,31.73,31.9575,252609600
2015-02-18,31.9075,32.195,31.8625,32.18,179566800
2015-02-19,32.12,32.2575,32.0825,32.1125,149449600
2015-02-20,32.155,32.375,32.012501,32.375,195793600
2015-02-23,32.505,33.25,32.415,33.25,283896400
2015-02-24,33.235,33.4,32.7925,33.0425,276912400
2015-02-25,32.89,32.9,32.037498,32.1975,298846800
2015-02-26,32.1975,32.7175,31.6525,32.605,365150000
2015-02-27,32.5,32.6425,32.060001,32.115,248059200
2015-03-02,32.3125,32.57,32.075001,32.2725,192386800
2015-03-03,32.24,32.38,32.022499,32.34,151265200
